Código interno|COD_SOC|Descrição Original|Descrição Final|LATERALIDADE|GRUPO|SUBGRUPO|Periodicidade Padrão|Preparo|TUSS|AMB|CBHPM|TIPO|
|mantris8553|Cultura bacteriana de secreção orofaríngea|Cultura Bacteriana (em diversos materiais biológicos)||LABORATORIAL|SECREÇÃO|||40310124|28100581|40310124|UPDATE|
|mantris8905|cultura da região interdigital|Cultura da região interdigital||LABORATORIAL|SECREÇÃO|||40310124|28100581|40310124|UPDATE|
|mantris8914|Cultura para mycobacterium (Cultura de BK)|Cultura de Bk||LABORATORIAL|SECREÇÃO|||40310159|28100689|40310159|UPDATE|
|mantris8763|Cultura Urina com contagem de colônias|Cultura Urina com contagem de colônias||LABORATORIAL|URINA|||40310213|28100549|40310213|UPDATE|Duplicidade exame 40310418
|mantris8991|Curva glicêmica (4 dosagens) via oral ou endovenosa|Curva Glicêmica Clássica (4 Dosagens), Oral ou Endovenossa||LABORATORIAL|SANGUE|||40301680||40301680|UPDATE|
|mantris4116|Desidrogenase láctica|DHL/Desidrogenase Lática||LABORATORIAL|SANGUE|||40301729|28010655|40301729|UPDATE|
|mantris8981|Dosagem Urinária de Álcool Etílico|Dosagem Urinária de Álcool Etílico||LABORATORIAL|URINA||||||UPDATE|
|mantris8637|Eletroferese de proteínas (sangue)|Eletroferese de Proteínas||LABORATORIAL|SANGUE|||40301761|28010736|40301761|UPDATE|
|21112016|ELETROFORESE DE HEMOGLOBINA|Hemoglobina (eletroforese ou HPLC)||LABORATORIAL|SANGUE|||40304353||40304353|UPDATE|
|1805|Eletroforese de Lipoproteinas|Eletroforese de Lipoproteinas||LABORATORIAL|SORO|||40301788|28010728|40301788|UPDATE|
|mantris8638|Eletroforese de proteínas urinárias, com concentração|Eletroforese de Proteinas Urinárias com Concentracao||LABORATORIAL|URINA|||40311309|28130170|40311309|UPDATE|
|mantris8644|Espermograma|Espermograma||LABORATORIAL|SECREÇÃO|||40309312|28020022|40309312|UPDATE|
|migra29|Estradiol|Estradiol (RIE)||LABORATORIAL|SANGUE|||40316246|31120156|40316246|UPDATE|
|mantris8778|Estriol|Estriol (RIE)||LABORATORIAL|SANGUE|||40316254||40316254|UPDATE|
|mantris8649|Estrogênios totais (fenolesteróides)|Estrogênios Totais (fenolesteróides)||LABORATORIAL|SANGUE|||40305597|28050274|40305597|UPDATE|
|40316262|Estrona - pesquisa e/ou dosagem|Estrona||LABORATORIAL|SANGUE|||40316262|28050304|40316262|UPDATE|
|28150309|Etanol - Urina|Etanol||LABORATORIAL|URINA|||40313140|28150309|40313140|UPDATE|
|mantris3644|Exame Microbiologia a fresco|A Fresco, Exame||LABORATORIAL|SECREÇÃO|||40310019|28100018|40310019|UPDATE|
|40306852|FAN (Fator antinúcleo - pesquisa e/ou dosagem)|Fator Antinúcleo, (FAN)||LABORATORIAL|SANGUE|||40306852|28060148|40306852|UPDATE|
|mantris8657|Fator reumatóide, quantitativo|Fator Reumatóide, quantitativo||LABORATORIAL|SANGUE|||40306860|28060504|40306860|UPDATE|
|mantris3532|Fenol, urina|Fenol (para benzeno, fenol)||LABORATORIAL|URINA|||40313158|28150147|40313158|UPDATE|
|28.01.079-5|Ferritina|Ferritina||LABORATORIAL|SANGUE|||40316270|28010795|40316270|UPDATE|
|28.01.080-9|Ferro Sérico|Ferro Sérico||LABORATORIAL|SANGUE|||40301842|28010809|40301842|UPDATE|
|mantris420|Flúor (para fluoretos)|Fluoreto Urinário||LABORATORIAL|URINA|||40313166|28150155|40313166|UPDATE|
|mantris3366|Folículo estimulante, hormônio (FSH)|FSH/Hormônio Folículo Estimulante||LABORATORIAL|SANGUE|||40316289|31120199|40316289|UPDATE|
|mantris8662|Fosfatase ácida total|Fosfatase Ácida Total||LABORATORIAL|SANGUE|||40301877|28010825|40301877|UPDATE|
|28.01.085-0|Fosfatase Alcalina|Fosfatase Alcalina||LABORATORIAL|SANGUE|||40301885|28010850|40301885|UPDATE|
|mantris8663|Fosfolipídios|Fosfolipídios||LABORATORIAL|SANGUE|||40301923|28010884|40301923|UPDATE|
|28010892|Fósforo|Fósforo||LABORATORIAL|SANGUE|||40301931|28010892|40301931|UPDATE|
|4030195|FRUTOSAMINA|Frutosaminas||LABORATORIAL|SANGUE|||40301958|28011554|40301958|UPDATE|
|mantris359|Gama-glutamil transferase (Gama GT)|Gama-Glutamil Transferase (ggt)||LABORATORIAL|SANGUE|||40301990|28010957|40301990|UPDATE|
|mantris8669|Gasometria (pH, pCO2, SA, O2, excesso base)|Gasometria||LABORATORIAL|SANGUE|||40302016|28010965|40302016|UPDATE|
|35|Glicose|Glicemia de Jejum||LABORATORIAL|SANGUE|||40302040|28010973|40302040|UPDATE|
|mantris8670|Glicose-6-fosfato deidrogenase (G6FD)|Glicose 6 - Fosfato Desidrogenase||LABORATORIAL|SANGUE|||40302059|28010981|40302059|UPDATE|
|mantris8671|Gonadotrófico coriônico, hormônio (HCG)|Imunoglobulina IgE||LABORATORIAL|SANGUE|||40316327|31120229|40316327|UPDATE|
|migra46|Hematócrito, determinação do|Hematócrito, determinação do||LABORATORIAL|SANGUE|||40304337|28040414|40304337|UPDATE|
|mantris8676|Hemoglobina glicada (A1 total)|Hemoglobina Glicosilada||LABORATORIAL|SANGUE|||40302075||40302075|UPDATE|
|mantris8677|Hemoglobina plasmática livre|Hemoglobina Plasmática Livre||LABORATORIAL|SANGUE|||40302083|28011031|40302083|UPDATE|
|mantris8678|Hemoglobina, dosagem|Hemoglobina, dosagem||LABORATORIAL|SANGUE|||40304345|28040422|40304345|UPDATE|
|28040481|Hemograma Completo|Hemograma Completo||LABORATORIAL|SANGUE|||40304361|28040481|40304361|UPDATE|
|mantris8679|Hemossedimentação, (VHS)|Hemossedimentacao, Determinacao da Velocidade de VHS,VSG||LABORATORIAL|SANGUE|||40304370|28040490|40304370|UPDATE|
|28060105|Hepatite A (Anti-Corpo IGG)|Hepatite A - HAV - IgG||LABORATORIAL|SANGUE|||40306933|28060105|40306933|UPDATE|
|28060113|Hepatite A (Anti-Corpo IGM)|Hepatite A - HAV - IgM||LABORATORIAL|SANGUE|||40306941|28060113|40306941|UPDATE|
|28060083|Hepatite B – anti HBS (anticorpos contra o antígeno de superfície do HBV)|Hepatite B –  anti HBS||LABORATORIAL|SANGUE|||40306992|28060083|40306992|UPDATE|
|mantris3381|Hepatite C - anti-HCV|Anti-HBc Total||LABORATORIAL|SANGUE|||40307026|28061659|40307026|UPDATE|
|mantris8998|Heptacloro|Heptacloro||LABORATORIAL|URINA||||||UPDATE|
|1000000124|HIDROXIPIRENO URINARIO|Hidroxipireno - Urinário||LABORATORIAL|URINA||||||UPDATE|
|mantris8577|HIV - antígeno P24|HIV - antígeno P24||LABORATORIAL|SANGUE|||40307166|28061535|40307166|UPDATE|
|mantris8569|HIV1 ou HIV2, pesquisa de anticorpos|Anticorpo HTLV-III (anti-HIV) (EIE ou IFI)||LABORATORIAL|SANGUE|||40307182|28061691|40307182|UPDATE|
|mantris8680|Homocisteína|Homocisteína||LABORATORIAL|SANGUE|||40302113||40302113|UPDATE|
|40316424|Hormônio de paratireoide  (PTH)|Paratormônio - PTH ou Fração||LABORATORIAL|SANGUE|||40305465|28050754|40305465|UPDATE|
|28.05.038-0|Hormônio Luteinizante (LH)|LH/Hormônio Luteinizante||LABORATORIAL|SANGUE|||40316335||40316335|UPDATE|
|mantris8683|IgE, total|IgE, (total e especifica por alergeno e por dosagem) (RIE)||LABORATORIAL|SANGUE|||40307271||40307271|UPDATE|
|mantris8789|Insulina (dosagem sanguínea)|Insulina||LABORATORIAL|SANGUE|||40316360|31120253|40316360|UPDATE|
|mantris8986|Leucócitos, contagem|Leucócitos, Contagem Global||LABORATORIAL|SANGUE|||40304418|28040520|40304418|UPDATE|
|mantris8694|Lipídios totais|Lipídios Totais||LABORATORIAL|SANGUE|||40302750|28011104|40302750|UPDATE|
|28.01.112-0|Magnésio|Magnésio||LABORATORIAL|SANGUE|||40302237|28011120|40302237|UPDATE|
|28150163|Mercurio dosagem sangue|Mercúrio, sangue||LABORATORIAL|SANGUE|||40313190|28150163|40313190|UPDATE|
|mantris8701|Meta-hemoglobina (para anilina nitrobenzeno)|Metahemoglobina (para anilina, nitrobenzeno)||LABORATORIAL|SANGUE|||40304434|28040546|40304434|UPDATE|
|mantris8580|Metais urinários - Arsênico|Arsênico ||LABORATORIAL|SANGUE|||40313190||40313190|UPDATE|
|mantris3547|Metais urinários - Cádmio|Cádmio||LABORATORIAL|SANGUE|||40313190|28150295|40313190|UPDATE|
|mantris8957|Metais urinários - Cobre|Cobre, urina||LABORATORIAL|URINA|||40301567|28150287|40301567|UPDATE|
|mantris9980|Metais urinários - Estanho|Estanho||LABORATORIAL|URINA||||||UPDATE|
|mantris4465|Metais urinários - Manganês|Manganês||LABORATORIAL|URINA|||40313190|28150279|40313190|UPDATE|
|mantris3534|Metais urinários - Mercúrio|Mercúrio, urina||LABORATORIAL|URINA|||40313190|28150163|40313190|UPDATE|
|110|Metais urinários - Níquel|Níquel||LABORATORIAL|URINA|||40313190|28150198|40313190|UPDATE|
|1835|Metais Urinários-Alumínio|Alumínio, urina||LABORATORIAL|URINA|||40301273|28011490|40301273|UPDATE|
|mantris221|Metanol, urina|Metanol||LABORATORIAL|URINA|||40313204|28150180|40313204|UPDATE|
|mantris234|Metil Etil Cetona|Metil-Etil-Cetona Urinário||LABORATORIAL|URINA|||40313344||40313344|UPDATE|
|mantris8851|Metilisobultilcetona|Metil Isobultil Cetona||LABORATORIAL|URINA||||||UPDATE|
|mantris8612|Muco-nasal, pesquisa de eosinófilos e mastócitos|Citograma Nasal||LABORATORIAL|SECREÇÃO|||40312054||40312054|UPDATE|
|migra36|Mucoproteínas|Mucoproteínas||LABORATORIAL|SANGUE|||40302660|28011139|40302660|UPDATE|
|12092017|Nitrogenio Ureico Sanguineo|Nitrogênio Uréico ||LABORATORIAL|SANGUE||||||UPDATE|
