Código interno|COD_SOC|Descrição Original|Descrição Final|LATERALIDADE|GRUPO|SUBGRUPO|Periodicidade Padrão|Preparo|TUSS|AMB|CBHPM|TIPO|
|28.01.017-5|Ácido Úrico|Ácido Úrico||LABORATORIAL|SANGUE|||40301150|28010175|40301150|UPDATE|
|mantris8566|Alfa-1-antitripsina, dosagem no soro|Alfa 1 - Antitripsina||LABORATORIAL|SORO|||40301249|28010221|40301249|UPDATE|
|mantris8229|Alfa-1-glicoproteína ácida|Alfa-1-Glicoproteina Ácida||LABORATORIAL|SORO|||40301257|28010230|40301257|UPDATE|
|1626|Alfa-fetoproteína|Dosagem de Alfa-Fetoproteína (IDR/RIE)||LABORATORIAL|SANGUE|||40316068|31120032|40316068|UPDATE|
|10101010|Alumínio sanguíneo/Sérico|Alumínio, sangue||LABORATORIAL|SANGUE|||40301273|28011490|40301273|UPDATE|
|mantris8567|Amilase pancreática|Amilase||LABORATORIAL|SANGUE|||40301281|28010256|40301281|UPDATE|
|migra30|Amonia|Amônia||LABORATORIAL|URINA|||40301320|28010264|40301320|UPDATE|
|mantris8548|Antibiograma|Antibiograma Automatizado||LABORATORIAL|SANGUE|||40310426||40310426|UPDATE|
|mantris7743|Anticardiolipina - IgA|Anti-Cardiolipina||LABORATORIAL|SANGUE|||40306135||40306135|UPDATE|
|mantris8759|Anticorpo anti-receptor de TSH (TRAB)|TRAB (ANTICORPO E ANTI-RECEPTOR DE TSH)||LABORATORIAL|SANGUE|||40316084||40316084|UPDATE|
|28060075|Anticorpos contra antigeno E da Hepatite B (anti-HBe)|Hepatite B - HBeAC (anti HBE)||LABORATORIAL|SANGUE|||40306976|28060075|40306976|UPDATE|
|mantris9994|Anticorpos contra o virus de epstein-Barr (IFI)|Anticorpos contra o virus de epstein-Barr (IFI)||LABORATORIAL|SANGUE|||40307565|28061357|40307565|UPDATE|
|1920|Anticorpos IGG contra antigeno C da Hepatite B (anti-HBc-IGG)|Hepatite B - HBCAC - IgG ||LABORATORIAL|SANGUE|||40306950||40306950|UPDATE|
|28061195|Anticorpos IGM contra antigeno C da Hepatite B (anti-HBc-IGM)|Hepatite B - HBCAC - IgM ||LABORATORIAL|SANGUE|||40306968|28061195|40306968|UPDATE|
|migra31|Anti-Estreptolisima O (ASLO), determinacao quantitativa de|Antiestreptolisina O (ASLO)||LABORATORIAL|SANGUE|||40306445|28060180|40306445|UPDATE|
|mantris3708|Antígeno específico prostático livre (PSA livre)|PSA Livre||LABORATORIAL|SANGUE|||40316130|28062515|40316130|UPDATE|
|mantris8579|Antiperoxidase tireoideana|Anti-Peroxidase Tireoideana - Anti-TPO||LABORATORIAL|SANGUE|||40306437||40306437|UPDATE|
|mantris8555|B.A.A.R. (Ziehl ou fluorescência, pesquisa direta e após homogeneização)|BAAR||LABORATORIAL|SANGUE|||40310051||40310051|UPDATE|
|mantris8769|Bacterioscopia (Gram, Ziehl, Albert etc), por lâmina|Bacterioscopia (Gram, Ziehl, Albert  etc), por lâmina||LABORATORIAL|LÂMINA|||40310060|28100093|40310060|UPDATE|
|mantris4156|Bilirrubinas (direta, indireta e total)|Bilirrubina Total e Frações||LABORATORIAL|SANGUE|||40301397|28010299|40301397|UPDATE|
|28061608|CA125|CA125||LABORATORIAL|SANGUE||||||UPDATE|
|mantris8606|Cálcio (dosagem sanguínea)|Cálcio, sangue||LABORATORIAL|SANGUE|||40301400|28010329|40301400|UPDATE|
|mantris8607|Cálculos urinários - análise|Cálculos Urinários, exame qualitativo de ||LABORATORIAL|URINA|||40311040|28010329|40311040|UPDATE|
|mantris3527|Carboxihemoglobina (para monóxido de carbono diclorometano)|Carboxihemoglobina (para monóxido de carbono  diclorometano)||LABORATORIAL|SANGUE|||40313093|28150090|40313093|UPDATE|
|mantris8613|Células, pesquisa de células neoplásicas (citologia oncótica)|Citologia Oncótico Líquido||LABORATORIAL|LÍQUOR|||40309045||40309045|UPDATE|
|14082017|Cetona Urinaria|Cetona ||LABORATORIAL|SANGUE||||||UPDATE|
|mantris4467|Chagas IgG (Teste de Machado Guerreiro)|Sorologia p/ Doença de Chagas - (Reação Machado Guerreiro)||LABORATORIAL|SANGUE|||40306615||40306615|UPDATE|
|mantris3530|Chumbo, Sangue|Chumbo, sangue||LABORATORIAL|SANGUE|||40313107||40313107|UPDATE|
|mantris415|Chumbo, urina|Chumbo urina||LABORATORIAL|URINA|||40313107|28150120|40313107|UPDATE|
|mantris8910|Citologia Oncótica (Papanicolau) Colpocitologia Oncótica|Citologia Oncótica (Papanicolau) Colpocitologia Oncótica||LABORATORIAL|SECREÇÃO|||40309045||40309045|UPDATE|
|21112017|CITOLÓGICO DE URINA|Citológico||LABORATORIAL|SECREÇÃO||||||UPDATE|
