Código interno|COD_SOC|Descrição Original|Descrição Final|LATERALIDADE|GRUPO|SUBGRUPO|Periodicidade Padrão|Preparo|TUSS|AMB|CBHPM|TIPO|
|mantris8996|Dosagem de DIELDRIN|Dosagem de DIELDRIN||LABORATORIAL|SORO||||||UPDATE|
|mantris8995|Dosagem de ENDRIN|Dosagem de ENDRIN||LABORATORIAL|SORO||||||UPDATE|
|3112016|Dosagem Serica Niquel|Dosagem Sérica Níquel||LABORATORIAL|SANGUE||||||UPDATE|
|mantris29|ECG convencional de até 12 derivações|ECG/Eletrocardiograma||EXAME|EXAME|||40101010|20010010|40101010|UPDATE|
|20.01.010-9|Ecocardiograma Bidimensional|Ecocardiograma Bidimensional||EXAME|EXAME|||40901106|20010109|40901106|UPDATE|
|33010234|ECOCARDIOGRAMA COM DOPPLER COLORIDO|Ecocardiograma com Doppler Colorido||EXAME|EXAME||||||UPDATE|
|668|Ecocardiograma Unidimensional|Ecocardiograma Médica - Unidimensional||EXAME|EXAME|||40901106|20010095|40901106|UPDATE|
|mantris8634|Ecodopplercardiograma com contraste intracavitário|Ecodopplercardiograma com contraste intracavitário||EXAME|EXAME|||40901050||40901050|UPDATE|
|mantris8775|Ecodopplercardiograma com estresse farmacológico|Ecodoppler de Esforço ou Stress Farmacológico||EXAME|EXAME|||40901076|20010150|40901076|UPDATE|
|mantris8776|Ecodopplercardiograma transesofágico (inclui transtorácico)|Ecodoppler Transesofágico||EXAME|EXAME|||40901092||40901092|UPDATE|
|mantris403|EEG de rotina|Eletroencefalograma em Vigilia||EXAME|EXAME|||40103170||40103170|UPDATE|
|mantris8797|EEGQ quantitativo (mapeamento cerebral)|Mapeamento Cerebral com Potencial Evocado||EXAME|EXAME|||40103196||40103196|UPDATE|
|mantris8636|Eletrococleografia (Ecochg)|Eletrococleografia||EXAME|EXAME|||40103269||40103269|UPDATE|
|migra49|Eletroneuromiografia|Eletroneuromiografia por segmento|Sim|EXAME|EXAME|||40103315|22010130|40103315|UPDATE|
|mantris8639|Eletroneuromiografia de MMII|Eletroneuromiografia de MMII|SIM|EXAME|EXAME|||40103323|22010130|40103323|UPDATE|
|mantris8640|Eletroneuromiografia de MMSS|Eletroneuromiografia de MMSS|SIM|EXAME|EXAME|||40103331|22010130|40103331|UPDATE|
|mantris8777|Eletro-retinografia - monocular|Eletroretinografia||EXAME|EXAME|||40103250|50010069|40103250|UPDATE|
|mantris9999|EMISSÕES OTOACÚSTICA |Emissões Otoacústica||EXAME|EXAME|||40103463|51010399|40103463|UPDATE|
|23.01.003-7|Endoscopia Digestiva Alta|Endoscopia Digestiva Alta (Esofago Gastro-Duodenoscopia)||EXAME|EXAME|||40201120||40201120|UPDATE|
|mantris8643|Escanometria|Escanometria||EXAME|EXAME|||40804119|32040121|40804119|UPDATE|
|mantris9021|Espectrografia vocal|Espectrografia Vocal (Otoneurológico Completo)||EXAME|EXAME|||40103404||40103404|UPDATE|
|CLINICO|Exame Clinico|Exame Clínico||CONSULTA|CONSULTA||||||UPDATE|
|00000|Exame Clinico com (Teste de Romberg)|Exame Clínico com (Teste de Romberg)||CONSULTA|CONSULTA||||||UPDATE|Inativar: teste clínico
|mantris8953|Exame de Visão Noturna|Exame de Visão Noturna||EXAME|EXAME|||41401271||41401271|UPDATE|
|1596|Exame micológico - cultura e identificação de colônia|Cultura Sub Ungueal||EXAME|EXAME|||41301218|42010047|41301218|UPDATE|
|mantris8554|Exame micológico de unha|Exame micológico de unha||AMOSTRA|AMOSTRA|||41301226|42010039|41301226|UPDATE|
|50010255|FUNDOSCOPIA DIRETA (OFTALMOSCOPIA)|Fundoscopia Médica - Direta||EXAME|EXAME|||41301250|50010093|41301250|UPDATE|
|mantris4214|Grupo sanguíneo ABO e RH|Tipagem Sanguínea Abo e Rh||LABORATORIAL|SANGUE|||40403173|27040151|40403173|UPDATE|
|migra50|Holter 24hs - sistema holter - 24hs 2 canais|Holter 24 horas - 2 ou mais canais - analógico||EXAME|EXAME||||20010052||UPDATE|
|mantris9997|IMITANCIOMETRIA|Imitanciometria||EXAME|EXAME|||40103420||40103420|UPDATE|
|mantris8686|Impedanciometria|Timpanometria||EXAME|EXAME|||40103439|51010127|40103439|UPDATE|
|370|Imuno Fluorescência para Tripanossoma Cruzi|Imuno Fluorescência para Tripanossoma Cruzi||LABORATORIAL|SORO|||40403459|27040402|40403459|UPDATE|
|mantris8969|Inspeção Bucal|Inspeção Bucal||EXAME|EXAME||||||UPDATE|
|mantris8689|Laringoscopia/traqueoscopia para diagnóstico e biópsia (tubo rígido)|Laringoscopia Direta - Para diagnostico, colheita de mateiral e / ou Biopsia||EXAME|EXAME|||40202429||40202429|UPDATE|
|mantris8697|Mamografia convencional bilateral|Mamografia|SIM|IMAGEM|RX|||40808106||40808106|UPDATE|
|mantris8795|MAPA (Monitoracao Ambulatorial de Pressao Arterial)|MAPA (Monitoracao Ambulatorial de Pressao Arterial)||EXAME|EXAME|||20102038||20102038|UPDATE|
|mantris8781|Nasofibrolaringoscopia para dignóstico e/ou biópsia|Nasofibrolaringoscopia para dignóstico e/ou biópsia||EXAME|EXAME|||40202488||40202488|UPDATE|
|mantris8706|Oftalmodinamometria - monocular|Oftalmodinamometria||EXAME|EXAME|||41301277|50010107|41301277|UPDATE|
|mantris8725|Prova de compatibilidade pré-transfusional completa|Prova de compatibilidade pré-transfusional completa||LABORATORIAL|SANGUE|||40403408|27040240|40403408|UPDATE|
|mantris341|Prova de função pulmonar completa (ou espirometria)|Espirometria||EXAME|EXAME|||40105075|29020212|40105075|UPDATE|
|10000101026|Prova de função pulmonar completa (ou espirometria) com Broncodilatador|Espirometria com Broncodilatador||EXAME|EXAME|||40105075|29020204|40105075|UPDATE|
|mantris4007|Punção biópsia ganglionar|Adenograma (nao Inclui Hemograma)||AMOSTRA|AMOSTRA|||30914124||30914124|UPDATE|
|22222222|Raio X Abdome|RX Abdome||IMAGEM|RX||||32080018||UPDATE|
|272|Raio X Pé|RX Pé|SIM|IMAGEM|RX|||40804097|32040105|40804097|UPDATE|
|20202021|Raio X SACRO-COCCIX |RX SACRO-COCCIX ||IMAGEM|RX|||40802078|32020090|40802078|UPDATE|
|mantris8892|Ressonância Magnética Abdome superior|Ressonância Magnética Abdome superior||IMAGEM|RM|||41101170|36010090|41101170|UPDATE|
|mantris8804|Ressonância Magnética Articular (por articulação)|Ressonância Magnética Cotovelo e Punho||IMAGEM|RM|||41101316||41101316|UPDATE|EXAME DESMEMBRADO
|mantris8805|Ressonância Magnética Artro-RM (incluir a punção articular)-por articulação|Ressonância Magnética Artro-RM (incluir a punção articular)-por articulação||IMAGEM|RM|||41102010||41102010|UPDATE|
|mantris8801|Ressonância Magnética Coluna cervical ou dorsal ou lombar|Ressonância Magnética da Coluna Cervical||IMAGEM|RM|||41101227||41101227|UPDATE|
|mantris8890|Ressonância Magnética Coração - morfológico e funcional|Ressonância Magnética De Coracao/Aorta C/Cine||IMAGEM|RM|||41101138|36010081|41101138|UPDATE|
|mantris8819|Ressonância Magnética Coxa (unilateral)|Ressonância Magnética de Coxo-Femural(Bilat.)|SIM|IMAGEM|RM|||41101286||41101286|UPDATE|
|mantris8735|Ressonância Magnética Crânio (encéfalo)|Ressonância Magnética de Crânio||IMAGEM|RM|||41101014|36010014|41101014|UPDATE|
|migra51|Ressonância Magnética de Bacia ou pelvis|Ressonância Magnética de Bacia ou Pelvis||IMAGEM|RM|||41101189|36010103|41101189|UPDATE|Duplicidade exame 1550
|mantris9995|Ressonância Magnética de Joelho|Ressonância Magnética de Joelho|SIM|IMAGEM|RM||||||UPDATE|
|migra52|Ressonancia Magnética de punho|Ressonância Magnética de Punho|SIM|IMAGEM|RM|||41101316|36010138|41101316|UPDATE|
|mantris8736|Ressonância Magnética Pé (antepé) - não inclui tornozelo|Ressonância Magnética Pé (antepé) - não inclui tornozelo|SIM|IMAGEM|RM|||41101308||41101308|UPDATE|
|1550|Ressonância Magnética Pelve (não inclui articulações coxofemorais)|Ressonância Magnética Pelve (não inclui articulações coxofemorais)||IMAGEM|RM|||41101189|36010103|41101189|UPDATE|
|mantris8884|Ressonância Magnética Pescoço|Ressonância Magnética De Pescoço||IMAGEM|RM|||41101111|36010057|41101111|UPDATE|
|1542|Ressonância Magnética Plexo braquial (desfiladeiro torácico) ou lombossacral|Ressonância Magnética Plexo Braquial (desfiladeiro torácico) ou Lombossacral||IMAGEM|RM|||41101243||41101243|UPDATE|
|mantris8888|Ressonância Magnética Tórax (mediastino, pulmão, parede torácica)|Ressonância Magnética de Tórax||IMAGEM|RM|||41101120|36010073|41101120|UPDATE|
|1783|Ressonância Nuclear Magnética De Coluna Lombar|Ressonância Magnética de Coluna Lombar||IMAGEM|RM|||41101227||41101227|UPDATE|
|1785|Ressonância Nuclear Magnética De Cotovelo|Ressonância Magnética de Cotovelo|SIM|IMAGEM|RM|||41101316|36010138|41101316|UPDATE|
|1789|Ressonância Nuclear Magnética De Ombro|Ressonância Magnética de Ombro|SIM|IMAGEM|RM|||41101316|36010120|41101316|UPDATE|
|1793|Ressonância Nuclear Magnética De Tornolezo|Ressonância Magnética de Tornolezo|SIM|IMAGEM|RM|||41101316|36010162|41101316|UPDATE|
|mantris8966|Retinografia (só honorário) monocular|Retinografia||EXAME|EXAME|||41301315|50010123|41301315|UPDATE|
|mantris8581|Rx Articulação coxofemoral (quadril)|RX Articulação Coxo-Femural|SIM|IMAGEM|RX|||40804038|32040040|40804038|UPDATE|
|mantris9002|Rx Articulação escapuloumeral (ombro)|RX Ombro|SIM|IMAGEM|RX|||40803074|32030070|40803074|UPDATE|
|mantris8849|Rx Articulação esternoclavicular|Rx Articulação Esterno-Clavicular (3 Chapas)|SIM|IMAGEM|RX|||40803023|32030029|40803023|UPDATE|
|mantris8818|Rx Articulação tibiotársica (tornozelo)|RX Articulacao Tibio-Társica (2 Incidências)|SIM|IMAGEM|RX|||40804089|32040091|40804089|UPDATE|
|mantris9019|Rx Bacia|Rx Bacia||IMAGEM|RX|||40804011|32040016|40804011|UPDATE|
|mantris8604|Rx Braço|Rx Braço|SIM|IMAGEM|RX|||40803082|32030088|40803082|UPDATE|
|mantris8817|Rx Calcâneo|Rx Calcâneo (2 Incidencias)|SIM|IMAGEM|RX|||40804100|32040113|40804100|UPDATE|
|mantris3304|Rx Coluna dorsal (torácica)|Rx Coluna Dorsal||IMAGEM|RX|||40802035|32020040|40802035|UPDATE|
|32020066|Rx Coluna Dorso Lombar|Rx Coluna Dorso Lombar||IMAGEM|RX||||||UPDATE|
|mantris8814|Rx Cotovelo|Rx Cotovelo|SIM|IMAGEM|RX|||40803090|32030096|40803090|UPDATE|
|mantris8623|Rx de coluna total|RX de Coluna Total||IMAGEM|RX|||40802108|32020120|40802108|UPDATE|
|migra53|Rx de coluna vertebral (LS + AP+P)|Rx de Coluna Vertebral||IMAGEM|RX||||||UPDATE|
|32010010|Rx de Crânio|Rx de Crânio||IMAGEM|RX|||40801012|32010010|40801012|UPDATE|
|mantris8699|Rx Mão ou quirodáctilo|Rx de Mão|SIM|IMAGEM|RX|||40803120|32030126|40803120|UPDATE|
|mantris8731|Rx Punho|Rx de Punho: A.P. - Lat. - Obliquas|SIM|IMAGEM|RX|||40803112|32030118|40803112|UPDATE|
|mantris8742|Rx Seios da face|Rx Seios da Face: F.N. - M.N. - Lat.||IMAGEM|RX|||40801063||40801063|UPDATE|
|mantris8955|S.Chagas IFI por unidade de sangue total|Trypanossoma IgG||LABORATORIAL|SANGUE|||40403653|27040070|40403653|UPDATE|
|mantris4462|S.Hepatite B (HBsAg) RIE ou EIE por unidade de sangue total|HBsAg||LABORATORIAL|SANGUE|||40403670|27040038|40403670|UPDATE|
|migra60|Sorologia para Hepatite B|Sorologia para Hepatite B||LABORATORIAL|SANGUE|||40403670|28060083|40403670|UPDATE|
|migra61|Sorologia para Hepatite C|Sorologia para Hepatite C||LABORATORIAL|SANGUE|||40403491|27040429|40403491|UPDATE|
|mantris8988|Teste de absorção de vitamina B12 com cobalto - 57 (teste de Schilling)|Absorçãoo Vitamina B12 (Teste Schilling)||LABORATORIAL|SANGUE|||40705064|31050018|40705064|UPDATE|
|mantris4464|Teste de Daltonismo - Ishihara|Teste de Daltonismo||EXAME|EXAME|||41401271||41401271|UPDATE|
|mantris8703|Teste de Mitsuda|Mitsuda (Hanseniase, ID de ||LABORATORIAL|SANGUE|||41401255||41401255|UPDATE|
|mantris454|Teste Ergométrico de Esforço|Teste Ergométrico de Esforço||EXAME|EXAME|||40101045|20010028|40101045|UPDATE|
|63169|Teste Palográfico|Teste Palográfico||EXAME|EXAME||||||UPDATE|
|mantris8751|Tomografia computadorizada Coluna - segmento adicional|Tomografia computadorizada Coluna - segmento adicional||IMAGEM|TC|||41001133|34010041|41001133|UPDATE|
|mantris3096|Tomografia computadorizada Coluna (até 3 segmentos)|Tomografia Computadorizada de Coluna Lombo-Sacra||IMAGEM|TC|||41001125|34010033|41001125|UPDATE|
|mantris8752|Tomografia computadorizada de Crânio ou sela túrsica ou órbitas|Tomografia Computadorizada de Crânio ou Órbitas ou Sela Túrsica||IMAGEM|TC|||41001010|34010068|41001010|UPDATE|
|mantris8921|Tomografia computadorizada de Face ou seios da face|Tomografia Computadorizada Face, Seios da Face||IMAGEM|TC|||41001036|34010084|41001036|UPDATE|
|mantris8749|Tomografia computadorizada Pelve ou bacia|Tomografia Computadorizada da Pelve ou Bacia||IMAGEM|TC|||41001117|34010106|41001117|UPDATE|
|mantris8755|Tomografia computadorizada Tórax|Tomografia Computadorizada do Tórax||IMAGEM|TC|||41001079|34010130|41001079|UPDATE|
|mantris9041|Tomografia de Coerência Óptica|Tomografia de Coerência Óptica||IMAGEM|TC|||41501144||41501144|UPDATE|
|34010092|Tomografia do Abdome Total|Tomografia do Abdome Total||IMAGEM|TC||||||UPDATE|
|mantris8756|Tonometria - binocular|Tonometria de Aplanação||EXAME|EXAME|||41301323|50010158|41301323|UPDATE|
|1234|Triagem Vocal|Triagem Médica - Vocal||EXAME|EXAME||||||UPDATE|
|mantris8764|Urografia venosa com bexiga pré e pós-miccional|Urografia venosa com bexiga pré e pós-miccional||IMAGEM|USG|||40807010|32070012|40807010|UPDATE|
|migra67|US de Abdomen Superior|USG de Abdomen Superior||IMAGEM|USG|||40901130||40901130|UPDATE|Duplicidade exame 1631
|migra66|US de antebraço|USG de Antebraço|SIM|IMAGEM|USG||||||UPDATE|
|18102017|US de Mao|USG de Mão|SIM|IMAGEM|USG||||||UPDATE|
|migra65|US de ombro|USG de Ombro|SIM|IMAGEM|USG||||||UPDATE|
|migra69|US de  mamas|USG de Mamas|SIM|IMAGEM|USG|||40901114||40901114|UPDATE|
|19102017|US de Punho|USG de Punho|SIM|IMAGEM|USG||||||UPDATE|
|migra70|US do Ap Urinário (Rins e Bexiga)|USG do Aparelho Urinário (Rins e Bexiga)||IMAGEM|USG|||40901157|33010030|40901157|UPDATE|
|migra71|US Obstétrica|USG Obstétrica||IMAGEM|USG|||40901238|33010110|40901238|UPDATE|
|migra73|US Pelvica Via Abdominal|USG Pélvica Via Abdominal||IMAGEM|USG||||||UPDATE|
|mantris8564|USG Abdome inferior feminino (bexiga, útero, ovário e anexos)|USG Pélvica (Ginecológica)||IMAGEM|USG|||40901181||40901181|UPDATE|
|mantris8561|USG Abdome inferior masculino (bexiga, próstata e vesículas seminais)|USG Próstata via abdominal||IMAGEM|USG|||40901173||40901173|UPDATE|
|1631|USG Abdome superior (fígado, vias biliares, vesícula, pâncreas, baço)|USG Abdome superior (fígado, vias biliares, vesícula, pâncreas, baço)||IMAGEM|USG|||40901130|33010013|40901130|UPDATE|
|mantris8990|USG Abdome total (inclui abdome inferior)|USG Abdome Total||IMAGEM|USG|||40901122|33010021|40901122|UPDATE|
|mantris8866|USG Doppler colorido venoso de membro inferior - unilateral|USG Doppler Venoso de Membro Inferior - unilateral||IMAGEM|USG|||40901483||40901483|UPDATE|
|mantris8708|USG Órgãos superficiais (tireóide ou escroto ou pênis ou crânio)|USG Órgãos superficiais (tireóide ou escroto ou pênis ou crânio)||IMAGEM|USG|||40901203|33010129|40901203|UPDATE|
|mantris8562|USG Próstata transretal (inclui abdome inferior masculino)|USG Próstata via trans-retal||IMAGEM|USG|||40901335|33010161|40901335|UPDATE|
|40901386|USG TIREOIDE COM DOPPLER|USG Tireóide com Doppler||IMAGEM|USG||||||UPDATE|
|migra72|USG TRANSVAGINAL|USG Transvaginal||IMAGEM|USG|||40901300|33010145|40901300|UPDATE|
|492|Vacina Antitetânica|Vacina Antitetânica||VACINA|VACINA||||||UPDATE|
|mantris429|Vídeo-faringo-laringoscopia com endoscópio flexível|Videolaringoscopia||EXAME|EXAME|||40201252||40201252|UPDATE|
|mantris4459|Avaliação da função muscular (dinamometria/módulos de cargas)|Avaliação da função muscular (dinamometria/módulos de cargas)||CONSULTA|CONSULTA||||||UPDATE|
|1621|PESQUISA DE MUTAÇÃO DO GENE DA HEMOCROTOSE|PESQUISA DE MUTAÇÃO DO GENE DA HEMOCROTOSE||EXAME|EXAME||||||UPDATE|
|20104065|Remoção de rolha de cerumen|Remoção de rolha de cerumen||EXAME|EXAME||||||UPDATE|
|mantris8999|Toxafeno|Toxafeno||EXAME|EXAME||||||UPDATE|
|63170|Exame de Zulliger|Exame de Zulliger||EXAME|EXAME||||||UPDATE|Duplicidade exame 63169
