Código interno|COD_SOC|Descrição Original|Descrição Final|LATERALIDADE|GRUPO|SUBGRUPO|Periodicidade Padrão|Preparo|TUSS|AMB|CBHPM|TIPO|
|mantris8734|Sangue oculto, pesquisa (fezes)|Sangue Oculto, pesquisa||LABORATORIAL|FEZES|||40303136|28030176|40303136|UPDATE|
|40316300|SHBG ( globulina ligada a hormônios sexuais)|"Globulina de ligação de hormônios
sexuais (SHBG)"||LABORATORIAL|SANGUE|||40316300||40316300|UPDATE|
|mantris8665|Sífilis - FTA-ABS-IgG|Sífilis - FTA-ABS-IgG||LABORATORIAL|SANGUE|||40307735|28060954|40307735|UPDATE|
|mantris9993|Sifilis - FTA-ABS-IgM|Sífilis - FTA-ABS-IgM||LABORATORIAL|SANGUE|||40307743||40307743|UPDATE|
|mantris8810|Sífilis - TPHA|Sífilis - TPHA||LABORATORIAL|SANGUE|||40307751||40307751|UPDATE|
|mantris3757|Sífilis - VDRL|Sífilis - VDRL||LABORATORIAL|SANGUE|||40307760|28061004|40307760|UPDATE|
|28.01.127-9|Sódio|Sódio||LABORATORIAL|SANGUE|||40302423|28011279|40302423|UPDATE|
|migra57|Sorologia para Caxumba|Sorologia para Caxumba||LABORATORIAL|SORO||||||UPDATE|EXAME DESMEMBRADO
|migra58|Sorologia para esquistossomose|Sorologia para esquistossomose||LABORATORIAL|SORO||||||UPDATE|EXAME DESMEMBRADO
|migra59|Sorologia para Hepatite A|Hepatite A - HAV IgG||LABORATORIAL|SORO|||40306933|28060105|40306933|UPDATE|Duplicidade Exame 28060105
|migra17|Sorologia para Rubéola ( Ig G e Ig M)|Sorologia para Rubéola ( Ig G e Ig M)||LABORATORIAL|SORO||||||UPDATE|EXAME DESMEMBRADO
|migra64|Sorologia para Toxoplasmose (IgG e IgM)|Sorologia para Toxoplasmose (IgG e IgM)||LABORATORIAL|SORO||||||UPDATE|EXAME DESMEMBRADO
|mantris8757|Toxoplasmose IgG (sorologia)|Toxoplasmose IgG||LABORATORIAL|SANGUE|||40307824|28060962|40307824|UPDATE|
|mantris8772|Sulfato de dehidroepiandrosterona (S-DHEA)|Dehidroepiandrostrona, sulfato de (S-Dhea)||LABORATORIAL|SANGUE|||40316459|31120342|40316459|UPDATE|
|mantris8544|Sulfo-hemoglobina, determinação da|Sulfahemoglobina||LABORATORIAL|SANGUE|||40304876|28040686|40304876|UPDATE|
|mantris1000|Swab nas fezes|Swab Anal||LABORATORIAL|SECREÇÃO|||40303020|28030133|40303020|UPDATE|
|28062017|T4L - TIROXINA LIVRE|Tiroxina (T4)||LABORATORIAL|SANGUE|||40316548|28050720|40316548|UPDATE|
|mantris8745|Tempo de coagulação|Tempo de Coagulação (Lee-White)||LABORATORIAL|SANGUE|||40304582||40304582|UPDATE|
|mantris8542|Tempo de protrombina|Tempo Protrombina||LABORATORIAL|SANGUE|||40304590|28040732|40304590|UPDATE|
|mantris8806|Tempo de sangramento (Duke)|Tempo de Sangramento (DUKE)||LABORATORIAL|SANGUE|||40304914||40304914|UPDATE|
|mantris8923|Tempo de tromboplastina parcial ativada|Tempo de Tromboplastina Parcial Ativado - TTPA||LABORATORIAL|SANGUE|||40304639|28040791|40304639|UPDATE|
|migra81|Teste de estímulo da tiróide com TSH|Prova do TRH-TSH||LABORATORIAL|SANGUE|||40305570|28050495|40305570|UPDATE|
|1004|Teste para Brucelose|Brucelose||LABORATORIAL|SANGUE|||40306526|28060270|40306526|UPDATE|
|28.05.077-0|Testosterona livre|Testosterona Livre||LABORATORIAL|SANGUE|||40316505|28050770|40316505|UPDATE|
|28.05.069-0|Testosterona total plasmatica|Testosterona Total||LABORATORIAL|SANGUE|||40316513|28050690|40316513|UPDATE|
|mantris8126|TGO/Transaminase Oxalacética|TGO/Transaminase Oxalacética||LABORATORIAL|SANGUE|||40312151|28140079|40312151|UPDATE|
|mantris8127|TGP/Transaminase Pirúvica|TGP/Transaminase Pirúvica||LABORATORIAL|SANGUE|||40312151|28140079|40312151|UPDATE|
|mantris3542|Tiocianato (para cianetos nitrilas alifáticas)|Tiocianato (para cianetos  nitrilas alifáticas)||LABORATORIAL|SORO|||40313271|28150244|40313271|UPDATE|
|mantris3864|Tireoestimulante, hormônio (TSH)|TSH/Hormônio Tireoestimulante||LABORATORIAL|SANGUE|||40316521|31120377|40316521|UPDATE|
|mantris3383|Tiroxina (T4)|T4 livre||LABORATORIAL|SANGUE|||40316548|28050720|40316548|UPDATE|
|28.01.138-4|Transferrina|Transferina||LABORATORIAL|SANGUE|||40302520|28011384|40302520|UPDATE|
|mantris3543|Triclorocompostos totais (para tetra/tricloroetileno, tricloroetano)|Triclorocompostos Totais Urinários||LABORATORIAL|URINA|||40313280|28150252|40313280|UPDATE|
|28011392|Triglicérides|Triglicerídeos||LABORATORIAL|SANGUE|||40302547|28011392|40302547|UPDATE|
|mantris3384|Triiodotironina (T3)|T3||LABORATORIAL|SANGUE|||40316556|28050738|40316556|UPDATE|
|28.01.141-4|Uréia|Uréia||LABORATORIAL|SANGUE|||40302580|28011414|40302580|UPDATE|
|28.13.036-7|Urina I|Urina Tipo I (Rotina de urina)||LABORATORIAL|URINA|||40311210|28130367|40311210|UPDATE|
|40310418|UROCULTURA E CONTAGEM DE COLONIAS|Urocultura e Contagem de Colônias||LABORATORIAL|URINA|||40310213|28100549|40310213|UPDATE|
|mantris8812|Waaler-Rose (fator reumatóide)|Waaler-Rose (fator reumatoide) teste||LABORATORIAL|SANGUE|||40307867|28061012|40307867|UPDATE|
|mantris8570|Western Blot (anticorpos anti-HIV)|Anticorpos anti-HTLV-III (HIV), Westem Blot||LABORATORIAL|SANGUE|||40307875||40307875|UPDATE|
|mantris3544|Zinco|Zinco||LABORATORIAL|SANGUE|||40313328|28150260|40313328|UPDATE|
|mantris9020|Rx Coluna cervical|Rx Coluna cervical||IMAGEM|RX|||40802019|32020015|40802019|UPDATE|EXAME DESMEMBRADO
|mantris3305|Rx Coluna lombo-sacra|Rx Coluna lombo-sacra||IMAGEM|RX|||40802051|32020066|40802051|UPDATE|EXAME DESMEMBRADO
|mantris3270|Rx de Joelho (AP, P e Axial)|Rx de Joelho (AP, P e Axial)|Sim|IMAGEM|RX|||40804054|32040075|40804054|UPDATE|EXAME DESMEMBRADO
|mantris8965|RX de tórax padrão OIT|RX Tórax padrão OIT, AP||IMAGEM|RX||||||UPDATE|
|41001079|Rx Tórax PA|Rx Tórax, PA||IMAGEM|RX|||40805018|32050038|40805018|UPDATE|
|mantris3281|Rx Tórax PA/ Perfil|Rx Tórax PA/ Perfil||IMAGEM|RX|||40805026|32050054|40805018|UPDATE|EXAME DESMEMBRADO
|50.01.001-8|Acuidade Visual|Acuidade Visual||EXAME|EXAME|||41301307||41301307|UPDATE|
|mantris8550|Analise Cinesio Funcional|Análise Cinesio Funcional||EXAME|EXAME||||||UPDATE|
|21010021|Anatomo Patologico|Anatomia Patológica||AMOSTRA|AMOSTRA|||40601080||40601080|UPDATE|
|876|Angeografia Carotida unilateral|Angeografia Carotida Unilateral||CONSULTA|CONSULTA||||||UPDATE|
|mantris8585|Audiometria (tipo Von Bekesy)|Audiometria (tipo, Von Bekesy)||EXAME|EXAME|||40103064||40103064|UPDATE|
|mantris8586|Audiometria de tronco cerebral (PEA) BERA|Audiometria Cortical (Era)||EXAME|EXAME|||40103048||40103048|UPDATE|
|51010020|Audiometria Tonal|Audiometria Tonal||EXAME|EXAME|||40103072|51010020|40103072|UPDATE|
|51010046|Audiometria Vocal|Audiometria Vocal||EXAME|EXAME|||40103099|51010046|40103099|UPDATE|
|mantris8589|Audiometria vocal com mensagem competitiva (SSI, SSW)|Audiometria Vocal com mensagem Competitiva (SSI,SSW)||EXAME|EXAME|||40103110||40103110|UPDATE|
|80|Avaliação Cardiológica|Avaliação Médica - Cardiologica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|mantris4594|Avaliação Clinica|Avaliação Médica - Clinica Geral||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|mantris8932|Avaliação Clínica Escala de Sonolência EPWORTH|Avaliação Clínica Escala de Sonolência EPWORTH||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|1825|Avaliação de Capacidade Funcional/ Teste de Aptidão Fisica| Teste de Aptidão Física||CONSULTA|CONSULTA||||||UPDATE|
|mantris8938|AVALIACAO DE ESCUTA PARA VOZ COLOQUIAL|Avaliação Vocal||CONSULTA|CONSULTA||||||UPDATE|
|mantris8592|Avaliação de Urologia|Avaliação Médica - Urológica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|mantris8596|Avaliação Fisioterapica|Avaliação Fisioterápica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
